"Ace Ventura: When Nature Calls","1995","108360000"
"The Hunt for Red October","1990","122012643"
"The Towering Inferno","1974","116000000"
"Rise of the Guardians","2012","103400692"
"Lethal Weapon 2","1989","147253986"
"The Bourne Identity","2002","121468960"
"Superbad","2007","121463226"
"Hancock","2008","227946274"
"National Treasure: Book of Secrets","2007","219961501"
"Harry Potter and the Half-Blood Prince","2009","301956980"
"The Karate Kid","2010","176591618"
"The Exorcist","1973","204565000"
"The Ring","2002","128579698"
"Enchanted","2007","127706877"
"Life of Pi","2012","124976634"
"The Amazing Spider-Man","2012","262030663"
"300: Rise of an Empire","2014","106369117"
"G.I. Joe: Retaliation","2013","122512052"
"Paranormal Activity 3","2011","104007828"
"I Am Legend","2007","256386216"
"The Pacifier","2005","113006880"
"Air Force One","1997","172620724"
"The Rock","1996","134006721"
"300","2006","210592590"
"Ocean's Thirteen","2007","117144465"
"Man of Steel","2013","291021565"
"Troy","2004","133228348"
"Madagascar: Escape 2 Africa","2008","179982968"
"Anger Management","2003","133756285"
"Road to Perdition","2002","104054514"
"Megamind","2010","148337537"
"Mission: Impossible II","2000","215397307"
"Walk the Line","2005","119518352"
"Kramer vs. Kramer","1979","106300000"
"Every Which Way But Loose","1978","105918400"
"Eraser","1996","101228120"
"Kung Fu Panda","2008","215395021"
"Horrible Bosses","2011","117528646"
"The Simpsons Movie","2007","183132370"
"Spy Kids","2001","112692062"
"Despicable Me","2010","251501645"
"Bad Boys II","2003","138396624"
"Dick Tracy","1990","103738726"
"The Birdcage","1996","123986682"
"Click","2006","137340146"
"The Hunchback of Notre Dame","1996","100117603"
"Men in Black 3","2012","179020854"
"Mission: Impossible III","2006","133382309"
"Mr. Peabody &amp; Sherman","2014","111505642"
"Jurassic Park III","2001","181166115"
"The Firm","1993","158348400"
"Robin Hood: Prince of Thieves","1991","165500000"
"Stir Crazy","1980","101500000"
"Top Gun","1986","179767866"
"Dr. Seuss' The Cat in the Hat","2003","100446895"
"Pacific Rim","2013","101785482"
"Pearl Harbor","2001","198539855"
"Phenomenon","1996","104632573"
"American Hustle","2013","150117807"
"Star Wars: Episode I - The Phantom Menace","1999","474544677"
"Captain Phillips","2013","107100855"
"Indiana Jones and the Last Crusade","1989","197171806"
"The King's Speech","2010","138795342"
"Shrek","2001","267652016"
"Gran Torino","2008","148085755"
"The Dark Knight","2008","533316061"
"Speed","1994","121248145"
"Eagle Eye","2008","101111837"
"Home Alone 2: Lost in New York","1992","173585516"
"Good Morning, Vietnam","1987","123922370"
"The Pursuit of Happyness","2006","162586036"
"Gone with the Wind","1939","198655278"
"Terminator Salvation","2009","125320003"
"Twister","1996","241688385"
"Rocky","1976","117235247"
"Rise of the Planet of the Apes","2011","176740650"
"Big","1988","114968774"
"Total Recall","1990","119412921"
"Meet the Fockers","2004","279167575"
"Les Misérables","2012","148775460"
"Planet of the Apes","2001","180011740"
"Ocean's Twelve","2004","125531634"
"Love Story","1970","106400000"
"The Girl with the Dragon Tattoo","2011","102515793"
"Beauty and the Beast","1991","218967620"
"Terms of Endearment","1983","108423489"
"Tomorrow Never Dies","1997","125332007"
"Teenage Mutant Ninja Turtles","2014","190871240"
"Enemy of the State","1998","111544445"
"Superman II","1980","108200000"
"Pretty Woman","1990","178406268"
"Rush Hour 2","2001","226138454"
"Dodgeball: A True Underdog Story","2004","114324072"
"Something's Gotta Give","2003","124590960"
"Batman Returns","1992","162831698"
"The Wolverine","2013","132550960"
"Identity Thief","2013","134455175"
"Jerry Maguire","1996","153620822"
"What Women Want","2000","182805123"
"Night at the Museum: Battle of the Smithsonian","2009","177243721"
"Black Hawk Down","2001","108638745"
"Happy Feet","2006","197992827"
"The Hangover","2009","277313371"
"Ice Age: Continental Drift","2012","161317423"
"The Sting","1973","159600000"
"E.T. the Extra-Terrestrial","1982","434949459"
"Forrest Gump","1994","329691196"
"Runaway Bride","1999","152149590"
"True Lies","1994","146282411"
"As Good as It Gets","1997","147637474"
"Harry Potter and the Order of the Phoenix","2007","292000866"
"Big Hero 6","2014","191610083"
"Ransom","1996","136448821"
"The Lorax","2012","213949505"
"Shrek Forever After","2010","238371987"
"District 9","2009","115646235"
"How to Train Your Dragon 2","2014","176997107"
"Rocky IV","1985","127900000"
"Taken 2","2012","139852971"
"Step Brothers","2008","100468793"
"A Christmas Carol","2009","137850096"
"Monsters, Inc.","2001","289907418"
"Fantastic 4: Rise of the Silver Surfer","2007","131920333"
"Platoon","1986","137963328"
"Face/Off","1997","112225777"
"Ride Along","2014","134141530"
"Captain America: The Winter Soldier","2014","259746958"
"Spider-Man 3","2007","336530303"
"G-Force","2009","119420252"
"Django Unchained","2012","162804648"
"Dawn of the Planet of the Apes","2014","208543795"
"Scream","1996","103001286"
"Patch Adams","1998","135014968"
"Lara Croft: Tomb Raider","2001","131144183"
"Star Wars: Episode III - Revenge of the Sith","2005","380262555"
"Guardians of the Galaxy","2014","332657316"
"A League of Their Own","1992","107458785"
"Spider-Man","2002","403706375"
"Charlie and the Chocolate Factory","2005","206456431"
"Men in Black II","2002","190418803"
"Despicable Me 2","2013","368049635"
"The Godfather","1972","134821952"
"Snow White and the Huntsman","2012","155111815"
"Armageddon","1998","201573391"
"Cast Away","2000","233630478"
"Gone in Sixty Seconds","2000","101643008"
"What Lies Beneath","2000","155370362"
"Pirates of the Caribbean: The Curse of the Black Pearl","2003","305388685"
"Over the Hedge","2006","155019340"
"Cowboys &amp; Aliens","2011","140555209"
"2 Fast 2 Furious","2003","127083765"
"The Addams Family","1991","113502246"
"Blazing Saddles","1974","119500000"
"Ice Age: The Meltdown","2006","195329763"
"Die Another Day","2002","160201106"
"Scary Movie 3","2003","110000082"
"The Rocky Horror Picture Show","1975","139876417"
"Austin Powers: The Spy Who Shagged Me","1999","205399422"
"You've Got Mail","1998","115731542"
"Ocean's Eleven","2001","183405771"
"My Best Friend's Wedding","1997","126805112"
"Clash of the Titans","2010","163192114"
"Se7en","1995","100125340"
"Doctor Dolittle","1998","144156464"
"Nine to Five","1980","103290500"
"The Bourne Ultimatum","2007","227225045"
"The Twilight Saga: Breaking Dawn - Part 1","2011","281275991"
"Rush Hour 3","2007","140080850"
"The Graduate","1967","104397102"
"Cloudy with a Chance of Meatballs 2","2013","119793567"
"The Patriot","2000","113330342"
"Signs","2002","227965690"
"Lemony Snicket's A Series of Unfortunate Events","2004","118627117"
"American Pie 2","2001","145096820"
"Toy Story","1995","191796233"
"Sleepless in Seattle","1993","126670704"
"The Departed","2006","132373442"
"American Graffiti","1973","115000000"
"xXx","2002","141204016"
"Rush Hour","1998","141153686"
"Journey 2: The Mysterious Island","2012","103812241"
"Wild Hogs","2007","168213584"
"Iron Man 2","2010","312057433"
"Robots","2005","128200012"
"The Perfect Storm","2000","182618434"
"X-Men: Days of Future Past","2014","233914986"
"Alvin and the Chipmunks: The Squeakquel","2009","219613391"
"Notting Hill","1999","116006080"
"The Twilight Saga: Breaking Dawn - Part 2","2012","292298923"
"The Other Guys","2010","119219978"
"Harry Potter and the Chamber of Secrets","2002","261970615"
"Lone Survivor","2013","125069696"
"Back to the Future Part II","1989","118500000"
"The Longest Yard","2005","158115031"
"Harry Potter and the Deathly Hallows: Part 1","2010","294980434"
"Con Air","1997","101087161"
"The Matrix","1999","171383253"
"The Bodyguard","1992","121945720"
"American Pie","1999","101736215"
"TRON: Legacy","2010","172051787"
"This Is the End","2013","101470202"
"Toy Story 2","1999","245823397"
"Evan Almighty","2007","100289690"
"Maverick","1994","101631272"
"Angels &amp; Demons","2009","133375846"
"X-Men: The Last Stand","2006","234360014"
"Casper","1995","100328194"
"Grown Ups 2","2013","133668525"
"Jackass 3D","2010","117224271"
"Fast Five","2011","209805005"
"Sex and the City","2008","152637269"
"The Hangover Part III","2013","112186625"
"The Hunger Games: Mockingjay - Part 1","2014","291072394"
"Watchmen","2009","107503316"
"Pirates of the Caribbean: Dead Man's Chest","2006","423032628"
"Chicken Run","2000","106793915"
"Collateral","2004","100003492"
"The 40-Year-Old Virgin","2005","109243478"
"Green Lantern","2011","116593191"
"Sleepy Hollow","1999","101068340"
"Oz the Great and Powerful","2013","234903076"
"Edge of Tomorrow","2014","100189501"
"Clear and Present Danger","1994","122012710"
"3 Men and a Baby","1987","167780960"
"The Italian Job","2003","106126012"
"Basic Instinct","1992","117727224"
"The Hobbit: The Desolation of Smaug","2013","258355354"
"Fatal Attraction","1987","156645693"
"Just Go with It","2011","103028109"
"You Don't Mess with the Zohan","2008","100018837"
"The Incredible Hulk","2008","134518390"
"Harry Potter and the Goblet of Fire","2005","289994397"
"GoldenEye","1995","106635996"
"Live Free or Die Hard","2007","134520804"
"Harry Potter and the Prisoner of Azkaban","2004","249358727"
"Harry Potter and the Sorcerer's Stone","2001","317557891"
"WALL·E","2008","223806889"
"Quantum of Solace","2008","168368427"
"The Truman Show","1998","125603360"
"Animal House","1978","141600000"
"Black Swan","2010","106952327"
"Alvin and the Chipmunks: Chipwrecked","2011","133103929"
"Cheaper by the Dozen","2003","138614544"
"Sister Act","1992","139610000"
"Journey to the Center of the Earth","2008","101702060"
"Austin Powers in Goldmember","2002","213079163"
"Up","2009","292979556"
"Wanted","2008","134568845"
"The General's Daughter","1999","102678089"
"Rio","2011","143618384"
"Minority Report","2002","132014112"
"Transformers: Dark of the Moon","2011","352358779"
"Porky's","1982","105500000"
"American Gangster","2007","130127620"
"Mulan","1998","120618403"
"Star Wars: Episode II - Attack of the Clones","2002","310675583"
"Mary Poppins","1964","102300000"
"Sherlock Holmes","2009","209019489"
"Epic","2013","107515297"
"Super 8","2011","126975169"
"Salt","2010","118311368"
"Dances with Wolves","1990","184208848"
"Get Smart","2008","130313314"
"Rio 2","2014","131536019"
"Safe House","2012","126149655"
"Double Jeopardy","1999","116735231"
"Hop","2011","108012170"
"Ghost","1990","217631306"
"X2","2003","214948780"
"The Flintstones","1994","130512915"
"Pirates of the Caribbean: At World's End","2007","309404152"
"The Mask","1994","119938730"
"Tangled","2010","200807262"
"Deep Impact","1998","140459099"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","291709845"
"The Aviator","2004","102608827"
"Die Hard 2","1990","117541000"
"The Little Mermaid","1989","109859444"
"Daddy Day Care","2003","104148781"
"Bringing Down the House","2003","132541238"
"The Jungle Book","1967","141843612"
"Batman Begins","2005","205343774"
"Blades of Glory","2007","118153533"
"Raiders of the Lost Ark","1981","242374454"
"Butch Cassidy and the Sundance Kid","1969","102308900"
"Superman","1978","134218018"
"Close Encounters of the Third Kind","1977","128300000"
"Gladiator","2000","187670866"
"Terminator 2: Judgment Day","1991","204843350"
"Rango","2011","123207194"
"A Beautiful Mind","2001","170708996"
"True Grit","2010","171031347"
"National Treasure","2004","173005002"
"Fast &amp; Furious","2009","155022220"
"Chicken Little","2005","135381507"
"Apollo 13","1995","172071312"
"Paranormal Activity","2007","107917283"
"The Village","2004","114195633"
"Gremlins","1984","148170000"
"The Passion of the Christ","2004","370270943"
"Batman Forever","1995","184031112"
"Cars","2006","244052771"
"Couples Retreat","2009","109176215"
"Bambi","1942","102797150"
"Smokey and the Bandit","1977","126737428"
"Ghostbusters","1984","241883122"
"Iron Man","2008","318298180"
"Big Daddy","1999","163479795"
"Monsters University","2013","268488329"
"Batman &amp; Robin","1997","107285004"
"Transformers: Revenge of the Fallen","2009","402076689"
"Due Date","2010","100448498"
"Inglourious Basterds","2009","120523073"
"The Sound of Music","1965","163214286"
"Parenthood","1989","100050000"
"Who Framed Roger Rabbit","1988","154222492"
"Ice Age: Dawn of the Dinosaurs","2009","196573705"
"Shrek the Third","2007","320706665"
"Mamma Mia!","2008","143704210"
"Interstellar","2014","172196263"
"Million Dollar Baby","2004","100422786"
"One Flew Over the Cuckoo's Nest","1975","112000000"
"Seabiscuit","2003","120147445"
"The Maze Runner","2014","101813353"
"Indiana Jones and the Temple of Doom","1984","179870271"
"The Last Samurai","2003","111110575"
"Lilo &amp; Stitch","2002","145771527"
"Casino Royale","2006","167007184"
"Transformers: Age of Extinction","2014","245428137"
"It's Complicated","2009","112703470"
"Bee Movie","2007","126597121"
"The Grudge","2004","110175871"
"The Twilight Saga: New Moon","2009","296623634"
"The Day After Tomorrow","2004","186739919"
"Scooby-Doo","2002","153288182"
"Skyfall","2012","304360277"
"Traffic","2000","124107476"
"The Lord of the Rings: The Fellowship of the Ring","2001","313837577"
"Shutter Island","2010","127968405"
"The Pelican Brief","1993","100768056"
"Marley &amp; Me","2008","143151473"
"Wedding Crashers","2005","209218368"
"A Time to Kill","1996","108706165"
"Captain America: The First Avenger","2011","176636816"
"Crouching Tiger, Hidden Dragon","2000","128067808"
"Lincoln","2012","182204440"
"Horton Hears a Who!","2008","154529187"
"Snow White and the Seven Dwarfs","1937","184925485"
"The Hobbit: An Unexpected Journey","2012","303001229"
"Tropic Thunder","2008","110416702"
"Juno","2007","143492840"
"Knocked Up","2007","148734225"
"The Princess and the Frog","2009","104374107"
"Back to the Future","1985","210609762"
"Jaws 2","1978","102922376"
"Honey, I Shrunk the Kids","1989","130724200"
"Anchorman 2: The Legend Continues","2013","126527201"
"The Green Mile","1999","136801374"
"Gone Girl","2014","165203822"
"The Fault in Our Stars","2014","124868837"
"The Incredibles","2004","261437578"
"The Nutty Professor","1996","128769345"
"Rain Man","1988","172825435"
"Lethal Weapon 4","1998","129734803"
"In the Line of Fire","1993","102314283"
"Avatar","2009","760505847"
"Jurassic Park","1993","402348347"
"Ghost Rider","2007","115802596"
"Inception","2010","292568851"
"The Santa Clause","1994","144833357"
"The Fast and the Furious","2001","144512310"
"Alvin and the Chipmunks","2007","217326336"
"Jumanji","1995","100200000"
"Saving Private Ryan","1998","216119491"
"Madagascar","2005","193136719"
"The Devil Wears Prada","2006","124732962"
"Die Hard: With a Vengeance","1995","100012500"
"Independence Day","1996","306124059"
"Big Momma's House","2000","117559438"
"101 Dalmatians","1961","153000000"
"Finding Nemo","2003","380838870"
"Van Helsing","2004","120025245"
"Pocahontas","1995","141600000"
"The Waterboy","1998","161487252"
"Contact","1997","100853835"
"Mr. &amp; Mrs. Smith","2005","186336103"
"Indecent Proposal","1993","106614100"
"The Mummy: Tomb of the Dragon Emperor","2008","102176165"
"The Expendables","2010","102981571"
"Jackass Presents: Bad Grandpa","2013","101978840"
"X-Men: First Class","2011","146405371"
"Thor","2011","181015141"
"Pulp Fiction","1994","107930000"
"Robin Hood","2010","105219735"
"Lethal Weapon 3","1992","144731527"
"The Vow","2012","125014030"
"Scream 2","1997","101334374"
"Dinosaur","2000","137748063"
"Pirates of the Caribbean: On Stranger Tides","2011","241063875"
"Tootsie","1982","177200000"
"The Bourne Supremacy","2004","176049130"
"Sherlock Holmes: A Game of Shadows","2011","187573200"
"Catch Me If You Can","2002","164435221"
"Star Wars: Episode VI - Return of the Jedi","1983","309125409"
"Fast &amp; Furious 6","2013","238673370"
"The Mummy","1999","155247825"
"The Dark Knight Rises","2012","448130642"
"Fahrenheit 9/11","2004","119078393"
"Meet the Parents","2000","166225040"
"The Avengers","2012","623279547"
"The Hangover Part II","2011","254455986"
"Divergent","2014","150832203"
"Coming to America","1988","128152301"
"The Amazing Spider-Man 2","2014","202853933"
"Shrek 2","2004","436471036"
"On Golden Pond","1981","119285432"
"Terminator 3: Rise of the Machines","2003","150350192"
"Gravity","2013","274084951"
"The Croods","2013","187165546"
"101 Dalmatians","1996","136182161"
"Ghostbusters II","1989","112494738"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","2010","104383624"
"Bedtime Stories","2008","109993847"
"The Blind Side","2009","255950375"
"I, Robot","2004","144795350"
"22 Jump Street","2014","191616238"
"Hairspray","2007","118823091"
"The Last Airbender","2010","131564731"
"Beverly Hills Cop","1984","234760500"
"Beverly Hills Cop II","1987","153665036"
"50 First Dates","2004","120776832"
"Hook","1991","119654900"
"Airport","1970","100489150"
"The Karate Kid, Part II","1986","115103979"
"Wreck-It Ralph","2012","189412677"
"Mission: Impossible - Ghost Protocol","2011","209364921"
"The Lord of the Rings: The Two Towers","2002","340478898"
"The First Wives Club","1996","105444419"
"The Polar Express","2004","176610096"
"The Wolf of Wall Street","2013","116866727"
"Little Fockers","2010","148383780"
"The Chronicles of Narnia: Prince Caspian","2008","141614023"
"The Lost World: Jurassic Park","1997","229074524"
"Teenage Mutant Ninja Turtles","1990","135270000"
"Superman Returns","2006","200069408"
"The Fugitive","1993","183875760"
"Liar Liar","1997","181395380"
"Scary Movie","2000","156997084"
"Jaws","1975","260000000"
"Puss in Boots","2011","149234747"
"Sleeping with the Enemy","1991","101580000"
"Titanic","1997","658672302"
"G.I. Joe: The Rise of Cobra","2009","150167630"
"Star Trek Into Darkness","2013","228756232"
"Thor: The Dark World","2013","206360018"
"The Conjuring","2013","137387272"
"Harry Potter and the Deathly Hallows: Part 2","2011","380955619"
"Ted","2012","218628680"
"Hotel Transylvania","2012","148313048"
"Star Trek IV: The Voyage Home","1986","109713132"
"Hulk","2003","132122995"
"The Twilight Saga: Eclipse","2010","300523113"
"Driving Miss Daisy","1989","106593296"
"The Smurfs","2011","142614158"
"The Rugrats Movie","1998","100491683"
"Grown Ups","2010","162001186"
"How the Grinch Stole Christmas","2000","260031035"
"How to Train Your Dragon","2010","217387997"
"Analyze This","1999","106694016"
"Men in Black","1997","250147615"
"Grease","1978","181360000"
"The Sum of All Fears","2002","118471320"
"Hannibal","2001","165091464"
"Crocodile Dundee II","1988","109306210"
"Nutty Professor II: The Klumps","2000","123307945"
"Cloudy with a Chance of Meatballs","2009","124870275"
"The Bourne Legacy","2012","113165635"
"The Sixth Sense","1999","293501675"
"Star Wars","1977","460935665"
"Kung Fu Panda 2","2011","165230261"
"We're the Millers","2013","150368971"
"My Big Fat Greek Wedding","2002","241437427"
"The Blair Witch Project","1999","140530114"
"The Silence of the Lambs","1991","130727000"
"Slumdog Millionaire","2008","141319195"
"8 Mile","2002","116724075"
"Wild Wild West","1999","113745408"
"Wayne's World","1992","121697350"
"Dumb &amp; Dumber","1994","127175354"
"There's Something About Mary","1998","176483808"
"Noah","2014","101160529"
"Stuart Little","1999","140015224"
"The Mummy Returns","2001","202007640"
"Yogi Bear","2010","100169068"
"Paul Blart: Mall Cop","2009","146336178"
"The Lion King","1994","422783777"
"How to Lose a Guy in 10 Days","2003","105807520"
"A Bug's Life","1998","162792677"
"The Break-Up","2006","118683135"
"Crocodile Dundee","1986","174635000"
"Spy Kids 3-D: Game Over","2003","111760631"
"Borat","2006","128505958"
"Brave","2012","237282182"
"Interview with the Vampire: The Vampire Chronicles","1994","105264608"
"The Matrix Reloaded","2003","281492479"
"The Hunger Games: Catching Fire","2013","424645577"
"Mrs. Doubtfire","1993","219200000"
"The Help","2011","169705587"
"Look Who's Talking","1989","140088813"
"George of the Jungle","1997","105263257"
"Home Alone","1990","285761243"
"Transformers","2007","318759914"
"Magic Mike","2012","113709992"
"The Princess Diaries","2001","108244774"
"The Equalizer","2014","100915604"
"Aladdin","1992","217350219"
"21 Jump Street","2012","138447667"
"Twins","1988","111936400"
"Madagascar 3: Europe's Most Wanted","2012","216366733"
"Argo","2012","136019448"
"An Officer and a Gentleman","1982","129795554"
"Shark Tale","2004","160762022"
"Charlie's Angels: Full Throttle","2003","100685880"
"Dr. Dolittle 2","2001","112950721"
"Bruce Almighty","2003","242589580"
"Elf","2003","173381405"
"Maleficent","2014","241407328"
"Cars 2","2011","191450875"
"Mission: Impossible","1996","180965237"
"The Da Vinci Code","2006","217536138"
"Good Will Hunting","1997","138339411"
"Batman","1989","251188924"
"The Santa Clause 2","2002","139225854"
"Talladega Nights: The Ballad of Ricky Bobby","2006","148213377"
"Night at the Museum","2006","250863268"
"Godzilla","2014","200661309"
"War of the Worlds","2005","234277056"
"World War Z","2013","202351611"
"Ratatouille","2007","206435493"
"Sweet Home Alabama","2002","127214072"
"King Kong","2005","218051260"
"The Hunger Games","2012","407999255"
"Daredevil","2003","102543518"
"American Beauty","1999","130058047"
"Unforgiven","1992","101157447"
"Indiana Jones and the Kingdom of the Crystal Skull","2008","317011114"
"I Now Pronounce You Chuck &amp; Larry","2007","119684970"
"Remember the Titans","2000","115648585"
"Miss Congeniality","2000","106807667"
"Four Christmases","2008","120136047"
"The Prince of Egypt","1998","101217900"
"City Slickers","1991","124033791"
"Spider-Man 2","2004","373377893"
"Rambo: First Blood Part II","1985","150415432"
"Toy Story 3","2010","414984497"
"Star Wars: Episode V - The Empire Strikes Back","1980","290158751"
"Bad Teacher","2011","100292856"
"Monsters vs. Aliens","2009","198332128"
"The Lego Movie","2014","257756197"
"The Matrix Revolutions","2003","139259759"
"Rocky III","1982","122823200"
"Vanilla Sky","2001","100614858"
"Charlie's Angels","2000","125305545"
"S.W.A.T.","2003","116643346"
"Doctor Zhivago","1965","111722000"
"Ice Age","2002","176387405"
"The Great Gatsby","2013","144812796"
"Shakespeare in Love","1998","100241322"
"Erin Brockovich","2000","125548685"
"X-Men","2000","157299717"
"Tarzan","1999","171085177"
"Mr. Deeds","2002","126203320"
"American Wedding","2003","104354205"
"Bolt","2008","114053579"
"The Curious Case of Benjamin Button","2008","127490802"
"Dreamgirls","2006","103338338"
"Chicago","2002","170684505"
"Star Trek","2009","257704099"
"Silver Linings Playbook","2012","132088910"
"The World Is Not Enough","1999","126930660"
"The Lord of the Rings: The Return of the King","2003","377019252"
"X-Men Origins: Wolverine","2009","179883016"
"Iron Man 3","2013","408992272"
"Freaky Friday","2003","110222438"
"A Few Good Men","1992","141340178"
"Fun with Dick and Jane","2005","110332737"
